Engine,Input,Rounds,Time
NoKV,1025,128,12.55879621701024
NoKV,1025,256,27.044820167997386
NoKV,1025,384,43.77129924700421
NoKV,1025,512,62.747720789993764
NoKV,1025,640,83.31132235200494
NoKV,1025,768,106.24538190700696
NoKV,1025,896,131.27945088800334
NoKV,1025,1024,158.40394931999617
NoKV,1025,1152,188.55973272999108
NoKV,1025,1280,222.12718513399886
NoKV,1025,1408,258.32459496300726
NoKV,1025,1536,296.9070182550058
NoKV,1025,1664,338.5148490470019
NoKV,1025,1792,382.8308600080054
NoKV,1025,1920,430.4306228149944
NoKV,1025,2048,480.72379606199684
SingleBatch,1025,128,3.083932070003357
SingleBatch,1025,256,5.8856432320026215
SingleBatch,1025,384,8.81313734500145
SingleBatch,1025,512,11.620588723002584
SingleBatch,1025,640,14.367896495998139
SingleBatch,1025,768,17.196670553996228
SingleBatch,1025,896,19.999023188996944
SingleBatch,1025,1024,22.785589646999142
SingleBatch,1025,1152,25.626811676003854
SingleBatch,1025,1280,28.409545187008916
SingleBatch,1025,1408,31.19488620699849
SingleBatch,1025,1536,34.04313671099953
SingleBatch,1025,1664,36.16400076900027
SingleBatch,1025,1792,38.97505977899709
SingleBatch,1025,1920,41.55658216700249
SingleBatch,1025,2048,44.45215939400077
