batch_size,N,K,library,tflops
128,1024,4096,cublas,7.304319
256,1024,4096,cublas,10.181520
384,1024,4096,cublas,10.604680
512,1024,4096,cublas,10.900432
640,1024,4096,cublas,11.753387
768,1024,4096,cublas,12.912485
896,1024,4096,cublas,13.187308
1024,1024,4096,cublas,13.067714
1152,1024,4096,cublas,14.073435
1280,1024,4096,cublas,13.158317
1408,1024,4096,cublas,14.077154
1536,1024,4096,cublas,14.154347
1664,1024,4096,cublas,13.839580
1792,1024,4096,cublas,14.184984
1920,1024,4096,cublas,13.221265
2048,1024,4096,cublas,13.320336
128,1024,4096,cutlass,10.916400
256,1024,4096,cutlass,13.932400
384,1024,4096,cutlass,14.051900
512,1024,4096,cutlass,14.935800
640,1024,4096,cutlass,14.386500
768,1024,4096,cutlass,14.486000
896,1024,4096,cutlass,13.898600
1024,1024,4096,cutlass,14.573400
1152,1024,4096,cutlass,15.957000
1280,1024,4096,cutlass,14.433600
1408,1024,4096,cutlass,14.760500
1536,1024,4096,cutlass,14.257700
1664,1024,4096,cutlass,14.816900
1792,1024,4096,cutlass,13.962100
1920,1024,4096,cutlass,14.333600
2048,1024,4096,cutlass,14.701900
